i	f_sup	f_swg	f_swg_id	traj_h
0	[-2.6, 2, 0.000205, 1.5707963267948966]	[-2.4, 2, 0.000205, 1.5707963267948966]	Right	None
1	[-2.35, 1.94, 0.0020500000937317964, 1.5707963267948966]	[-2.6, 2, 0.000205, 1.5707963267948966]	Left	0.02
2	[-2.65, 2.0, 0.0020500000937317964, 1.7707963267948965]	[-2.35, 1.94, 0.0020500000937317964, 1.5707963267948966]	Right	0.02
3	[-2.4996806305146158, 2.265149179062498, 0.0020500000937317964, 1.5707963267948966]	[-2.65, 2.0, 0.0020500000937317964, 1.7707963267948965]	Left	0.02
4	[-2.7496806305146158, 2.445149179062498, 0.0020500000937317964, 1.7707963267948965]	[-2.4996806305146158, 2.265149179062498, 0.0020500000937317964, 1.5707963267948966]	Right	0.02
5	[-2.432797061850998, 2.186876653596539, 0.0020500000937317964, 1.7707963267948965]	[-2.65, 2.0, 0.0020500000937317964, 1.7707963267948965]	Left	0.02
6	[-2.6, 2.08, 0.0020500000937317964, 1.3707963267948966]	[-2.35, 1.94, 0.0020500000937317964, 1.5707963267948966]	Right	0.02
7	[-2.3351164224601835, 2.128339325085359, 0.0020500000937317964, 1.5707963267948966]	[-2.6, 2.08, 0.0020500000937317964, 1.3707963267948966]	Left	0.02
8	[-2.3000000000000003, 2.06, 0.0020500000937317964, 1.3707963267948966]	[-2.6, 2, 0.000205, 1.5707963267948966]	Left	0.02
9	[-2.46819960925694, 2.236943187056786, 0.0020500000937317964, 1.3707963267948966]	[-2.3000000000000003, 2.06, 0.0020500000937317964, 1.3707963267948966]	Right	0.02
10	[-2.499322698377447, 2.335082645602251, 0.0020500000937317964, 1.5707963267948966]	[-2.3000000000000003, 2.06, 0.0020500000937317964, 1.3707963267948966]	Right	0.02
11	[-2.199322698377447, 2.5150826456022513, 0.0020500000937317964, 1.3707963267948966]	[-2.499322698377447, 2.335082645602251, 0.0020500000937317964, 1.5707963267948966]	Left	0.02
12	[-2.4602528360251377, 2.276145850170436, 0.0020500000937317964, 1.1707963267948966]	[-2.3000000000000003, 2.06, 0.0020500000937317964, 1.3707963267948966]	Right	0.02
13	[-2.144992703593407, 2.251426446878129, 0.0020500000937317964, 1.1707963267948966]	[-2.4602528360251377, 2.276145850170436, 0.0020500000937317964, 1.1707963267948966]	Left	0.02
14	[-2.2526755366860414, 2.253525841348879, 0.0020500000937317964, 0.9707963267948967]	[-2.4602528360251377, 2.276145850170436, 0.0020500000937317964, 1.1707963267948966]	Left	0.02
15	[-2.417742659667977, 2.366454336027886, 0.0020500000937317964, 0.7707963267948967]	[-2.2526755366860414, 2.253525841348879, 0.0020500000937317964, 0.9707963267948967]	Right	0.02
16	[-2.2066224869858972, 2.234054924233446, 0.0020500000937317964, 0.9707963267948967]	[-2.4602528360251377, 2.276145850170436, 0.0020500000937317964, 1.1707963267948966]	Left	0.02
17	[-2.4468349391170188, 2.3256954056876245, 0.0020500000937317964, 0.9707963267948967]	[-2.2066224869858972, 2.234054924233446, 0.0020500000937317964, 0.9707963267948967]	Right	0.02
18	[-2.1201843083688106, 2.2718496497564686, 0.0020500000937317964, 0.7707963267948967]	[-2.4468349391170188, 2.3256954056876245, 0.0020500000937317964, 0.9707963267948967]	Left	0.02
19	[-2.2595256502382437, 2.4153208679363734, 0.0020500000937317964, 0.9707963267948967]	[-2.1201843083688106, 2.2718496497564686, 0.0020500000937317964, 0.7707963267948967]	Right	0.02
20	[-2.015408580981003, 2.417939359344721, 0.0020500000937317964, 0.7707963267948967]	[-2.2595256502382437, 2.4153208679363734, 0.0020500000937317964, 0.9707963267948967]	Left	0.02
21	[-2.224420593785153, 2.633146186614578, 0.0020500000937317964, 0.9707963267948967]	[-2.015408580981003, 2.417939359344721, 0.0020500000937317964, 0.7707963267948967]	Right	0.02
22	[-2.2861549557189886, 2.5288588795871556, 0.0020500000937317964, 0.5707963267948968]	[-2.1201843083688106, 2.2718496497564686, 0.0020500000937317964, 0.7707963267948967]	Right	0.02
23	[-2.1745525230470206, 2.2439994457926984, 0.0020500000937317964, 0.37079632679489677]	[-2.2861549557189886, 2.5288588795871556, 0.0020500000937317964, 0.5707963267948968]	Left	0.02
24	[-2.227337504231989, 2.5453526368514665, 0.0020500000937317964, 0.37079632679489677]	[-2.1745525230470206, 2.2439994457926984, 0.0020500000937317964, 0.37079632679489677]	Right	0.02
25	[-2.153820165345633, 2.466643038433811, 0.0020500000937317964, 0.37079632679489677]	[-2.1745525230470206, 2.2439994457926984, 0.0020500000937317964, 0.37079632679489677]	Right	0.02
26	[-1.87734580352853, 2.252255708449445, 0.0020500000937317964, 0.17079632679489676]	[-2.153820165345633, 2.466643038433811, 0.0020500000937317964, 0.37079632679489677]	Left	0.02
27	[-1.9135815789761974, 2.345459617046167, 0.0020500000937317964, 0.37079632679489677]	[-2.153820165345633, 2.466643038433811, 0.0020500000937317964, 0.37079632679489677]	Left	0.02
28	[-1.951908930405908, 2.2232670880913106, 0.0020500000937317964, 0.5707963267948968]	[-2.153820165345633, 2.466643038433811, 0.0020500000937317964, 0.37079632679489677]	Left	0.02
29	[-1.9961936842932446, 2.551350706355219, 0.0020500000937317964, 0.5707963267948968]	[-1.951908930405908, 2.2232670880913106, 0.0020500000937317964, 0.5707963267948968]	Right	0.02
30	[-2.050772971893727, 2.5603515008141398, 0.0020500000937317964, 0.37079632679489677]	[-2.1745525230470206, 2.2439994457926984, 0.0020500000937317964, 0.37079632679489677]	Right	0.02
31	[-2.1510793792519536, 2.3184911333851814, 0.0020500000937317964, 0.7707963267948967]	[-2.2861549557189886, 2.5288588795871556, 0.0020500000937317964, 0.5707963267948968]	Left	0.02
32	[-2.165355706240413, 2.2058228005636944, 0.0020500000937317964, 1.1707963267948966]	[-2.4468349391170188, 2.3256954056876245, 0.0020500000937317964, 0.9707963267948967]	Left	0.02
33	[-2.1138392362087153, 2.32511132639836, 0.0020500000937317964, 1.1707963267948966]	[-2.4602528360251377, 2.276145850170436, 0.0020500000937317964, 1.1707963267948966]	Left	0.02
34	[-2.1598922859088594, 2.3445822435137926, 0.0020500000937317964, 1.1707963267948966]	[-2.4602528360251377, 2.276145850170436, 0.0020500000937317964, 1.1707963267948966]	Left	0.02
35	[-2.300591315678591, 2.653780857711619, 0.0020500000937317964, 1.1707963267948966]	[-2.1598922859088594, 2.3445822435137926, 0.0020500000937317964, 1.1707963267948966]	Right	0.02
36	[-1.9347067987467361, 2.748799383639687, 0.0020500000937317964, 1.3707963267948966]	[-2.300591315678591, 2.653780857711619, 0.0020500000937317964, 1.1707963267948966]	Left	0.02
37	[-2.3667924338710615, 2.4972004887311283, 0.0020500000937317964, 0.9707963267948967]	[-2.1598922859088594, 2.3445822435137926, 0.0020500000937317964, 1.1707963267948966]	Right	0.02
38	[-2.017556104187052, 2.47636815739636, 0.0020500000937317964, 0.7707963267948967]	[-2.3667924338710615, 2.4972004887311283, 0.0020500000937317964, 0.9707963267948967]	Left	0.02
39	[-2.2265681169912015, 2.6915749846662167, 0.0020500000937317964, 0.7707963267948967]	[-2.017556104187052, 2.47636815739636, 0.0020500000937317964, 0.7707963267948967]	Right	0.02
40	[-2.2696094824451727, 2.6497725821053866, 0.0020500000937317964, 0.5707963267948968]	[-2.017556104187052, 2.47636815739636, 0.0020500000937317964, 0.7707963267948967]	Right	0.02
41	[-2.156897446056485, 2.6198393755762646, 0.0020500000937317964, 0.7707963267948967]	[-2.017556104187052, 2.47636815739636, 0.0020500000937317964, 0.7707963267948967]	Right	0.02
42	[-2.017556104187052, 2.47636815739636, 0.0020500000937317964, 0.7707963267948967]	[-2.156897446056485, 2.6198393755762646, 0.0020500000937317964, 0.7707963267948967]	Left	0.02
43	[-1.9919055451495946, 2.7800819187261125, 0.0020500000937317964, 0.7707963267948967]	[-2.017556104187052, 2.47636815739636, 0.0020500000937317964, 0.7707963267948967]	Right	0.02
44	[-2.148691416069872, 2.6975095826820703, 0.0020500000937317964, 0.7707963267948967]	[-2.017556104187052, 2.47636815739636, 0.0020500000937317964, 0.7707963267948967]	Right	0.02
