i	f_sup	f_swg	f_swg_id	traj_params	h_max
0	[-2.4, 1.1, 0.000205, 1.5707963267948966]	[-2.2, 1.1, 0.000205, 1.5707963267948966]	Right	None
1	[-2.1, 1.2000000000000002, 0.0020500000937317964, 1.5707963267948966]	[-2.4, 1.1, 0.000205, 1.5707963267948966]	Left	0.02
2	[-2.4, 1.3800000000000001, 0.0020500000937317964, 1.5707963267948966]	[-2.1, 1.2000000000000002, 0.0020500000937317964, 1.5707963267948966]	Right	0.02
3	[-2.1999999999999997, 1.4400000000000002, 0.0020500000937317964, 1.5707963267948966]	[-2.4, 1.3800000000000001, 0.0020500000937317964, 1.5707963267948966]	Left	0.02
4	[-2.4, 1.5400000000000003, 0.0020500000937317964, 1.3707963267948966]	[-2.1999999999999997, 1.4400000000000002, 0.0020500000937317964, 1.5707963267948966]	Right	0.02
5	[-2.1682262048886405, 1.6766781178524115, 0.0020500000937317964, 1.1707963267948966]	[-2.4, 1.5400000000000003, 0.0020500000937317964, 1.3707963267948966]	Left	0.02
6	[-2.467909603628025, 1.7382399609048336, 0.0020500000937317964, 1.1707963267948966]	[-2.1682262048886405, 1.6766781178524115, 0.0020500000937317964, 1.1707963267948966]	Right	0.02
7	[-2.1370727375039484, 1.7503629973726424, 0.0020500000937317964, 1.3707963267948966]	[-2.467909603628025, 1.7382399609048336, 0.0020500000937317964, 1.1707963267948966]	Left	0.02
8	[-2.370169222116555, 1.8588343247418821, 0.0020500000937317964, 1.5707963267948966]	[-2.1370727375039484, 1.7503629973726424, 0.0020500000937317964, 1.3707963267948966]	Right	0.02
9	[-2.170169222116555, 1.798834324741882, 0.0020500000937317964, 1.7707963267948965]	[-2.370169222116555, 1.8588343247418821, 0.0020500000937317964, 1.5707963267948966]	Left	0.02
10	[-2.386049470764309, 1.857107116366994, 0.0020500000937317964, 1.5707963267948966]	[-2.170169222116555, 1.798834324741882, 0.0020500000937317964, 1.7707963267948965]	Right	0.02
11	[-2.136049470764309, 1.857107116366994, 0.0020500000937317964, 1.3707963267948966]	[-2.386049470764309, 1.857107116366994, 0.0020500000937317964, 1.5707963267948966]	Left	0.02
12	[-2.2863688402496933, 2.1222562954294917, 0.10000000149011612, 1.5707963267948966]	[-2.136049470764309, 1.857107116366994, 0.0020500000937317964, 1.3707963267948966]	Right	0.152
13	[-1.9863688402496933, 2.1822562954294917, 0.10000000149011612, 1.7707963267948965]	[-2.2863688402496933, 2.1222562954294917, 0.10000000149011612, 1.5707963267948966]	Left	0.152
14	[-2.2313854847100036, 2.1325889627307264, 0.10000000149011612, 1.7707963267948965]	[-1.9863688402496933, 2.1822562954294917, 0.10000000149011612, 1.7707963267948965]	Right	0.02
15	[-1.998289000097397, 2.2410602900999663, 0.10000000149011612, 1.5707963267948966]	[-2.2313854847100036, 2.1325889627307264, 0.10000000149011612, 1.7707963267948965]	Left	0.02
16	[-2.248289000097397, 2.4710602900999663, 0.10000000149011612, 1.5707963267948966]	[-1.998289000097397, 2.2410602900999663, 0.10000000149011612, 1.5707963267948966]	Right	0.02
17	[-1.998289000097397, 2.7010602900999663, 0.10000000149011612, 1.7707963267948965]	[-2.248289000097397, 2.4710602900999663, 0.10000000149011612, 1.5707963267948966]	Left	0.02
18	[-2.2803888136020656, 2.5826554961909736, 0.10000000149011612, 1.5707963267948966]	[-1.998289000097397, 2.7010602900999663, 0.10000000149011612, 1.7707963267948965]	Right	0.02
19	[-2.0803888136020654, 2.6826554961909737, 0.10000000149011612, 1.5707963267948966]	[-2.2803888136020656, 2.5826554961909736, 0.10000000149011612, 1.5707963267948966]	Left	0.02
20	[-2.3303888136020654, 2.7826554961909737, 0.10000000149011612, 1.7707963267948965]	[-2.0803888136020654, 2.6826554961909737, 0.10000000149011612, 1.5707963267948966]	Right	0.02
21	[-2.1224553381861133, 2.7635853676795117, 0.10000000149011612, 1.9707963267948965]	[-2.3303888136020654, 2.7826554961909737, 0.10000000149011612, 1.7707963267948965]	Left	0.02
22	[-2.4883398551179683, 2.8586038936075804, 0.10000000149011612, 2.1707963267948966]	[-2.1224553381861133, 2.7635853676795117, 0.10000000149011612, 1.9707963267948965]	Right	0.02
23	[-2.4531405010168905, 3.1613595797158136, 0.20000000670552254, 1.9707963267948967]	[-2.4883398551179683, 2.8586038936075804, 0.10000000149011612, 2.1707963267948966]	Left	0.152
24	[-2.6762945340483326, 3.175582010654372, 0.20000000670552254, 2.1707963267948966]	[-2.4531405010168905, 3.1613595797158136, 0.20000000670552254, 1.9707963267948967]	Right	0.152
25	[-2.590277357341702, 3.404057491420734, 0.20000000670552254, 1.9707963267948967]	[-2.6762945340483326, 3.175582010654372, 0.20000000670552254, 2.1707963267948966]	Left	0.02
26	[-2.774489556142279, 3.326173822959004, 0.20000000670552254, 1.7707963267948967]	[-2.590277357341702, 3.404057491420734, 0.20000000670552254, 1.9707963267948967]	Right	0.02
27	[-2.508283289101215, 3.522983943095296, 0.20000000670552254, 1.5707963267948968]	[-2.774489556142279, 3.326173822959004, 0.20000000670552254, 1.7707963267948967]	Left	0.02
28	[-2.708283289101215, 3.522983943095296, 0.20000000670552254, 1.7707963267948967]	[-2.508283289101215, 3.522983943095296, 0.20000000670552254, 1.5707963267948968]	Right	0.02
29	[-2.548030453076078, 3.739129793265732, 0.20000000670552254, 1.5707963267948968]	[-2.708283289101215, 3.522983943095296, 0.20000000670552254, 1.7707963267948967]	Left	0.02
30	[-2.748030453076078, 3.679129793265732, 0.20000000670552254, 1.7707963267948967]	[-2.548030453076078, 3.739129793265732, 0.20000000670552254, 1.5707963267948968]	Right	0.02
31	[-2.4659306395714093, 3.7975345871747246, 0.20000000670552254, 1.5707963267948968]	[-2.748030453076078, 3.679129793265732, 0.20000000670552254, 1.7707963267948967]	Left	0.02
32	[-2.7159306395714093, 3.7375345871747245, 0.20000000670552254, 1.5707963267948968]	[-2.4659306395714093, 3.7975345871747246, 0.20000000670552254, 1.5707963267948968]	Right	0.02
33	[-2.4159306395714095, 3.7975345871747246, 0.20000000670552254, 1.3707963267948968]	[-2.7159306395714093, 3.7375345871747245, 0.20000000670552254, 1.5707963267948968]	Left	0.02
34	[-2.7218707727714855, 3.7983313917427686, 0.20000000670552254, 1.1707963267948969]	[-2.4159306395714095, 3.7975345871747246, 0.20000000670552254, 1.3707963267948968]	Right	0.02
35	[-2.3754571729550626, 3.8472968679706927, 0.20000000670552254, 0.9707963267948969]	[-2.7218707727714855, 3.7983313917427686, 0.20000000670552254, 1.1707963267948969]	Left	0.02
36	[-2.52142221221686, 4.1652500206729455, 0.30000000074505806, 1.1707963267948969]	[-2.3754571729550626, 3.8472968679706927, 0.20000000670552254, 0.9707963267948969]	Right	0.152
