i	f_sup	f_swg	f_swg_id	traj_h
0	[-2.4, 1.1, 0.000205, 1.5707963267948966]	[-2.2, 1.1, 0.000205, 1.5707963267948966]	Right	None
1	[-2.1, 1.2000000000000002, 0.0020500000937317964, 1.3707963267948966]	[-2.4, 1.1, 0.000205, 1.5707963267948966]	Left	0.02
2	[-2.15, 1.28, 0.0020500000937317964, 1.5707963267948966]	[-2.4, 1.1, 0.000205, 1.5707963267948966]	Left	0.02
3	[-2.1, 1.24, 0.0020500000937317964, 1.5707963267948966]	[-2.4, 1.1, 0.000205, 1.5707963267948966]	Left	0.02
4	[-2.1999999999999997, 1.2000000000000002, 0.0020500000937317964, 1.5707963267948966]	[-2.4, 1.1, 0.000205, 1.5707963267948966]	Left	0.02
5	[-2.4, 1.3000000000000003, 0.0020500000937317964, 1.7707963267948965]	[-2.1999999999999997, 1.2000000000000002, 0.0020500000937317964, 1.5707963267948966]	Right	0.02
6	[-2.15, 1.28, 0.0020500000937317964, 1.7707963267948965]	[-2.4, 1.1, 0.000205, 1.5707963267948966]	Left	0.02
7	[-2.1999999999999997, 1.2400000000000002, 0.0020500000937317964, 1.7707963267948965]	[-2.4, 1.1, 0.000205, 1.5707963267948966]	Left	0.02
8	[-2.521833679663681, 1.3176085216592557, 0.0020500000937317964, 1.9707963267948965]	[-2.1999999999999997, 1.2400000000000002, 0.0020500000937317964, 1.7707963267948965]	Right	0.02
9	[-2.3149335317014788, 1.4702267668765914, 0.0020500000937317964, 2.1707963267948966]	[-2.521833679663681, 1.3176085216592557, 0.0020500000937317964, 1.9707963267948965]	Left	0.02
10	[-2.5590506009587193, 1.4728452582849392, 0.0020500000937317964, 1.9707963267948967]	[-2.3149335317014788, 1.4702267668765914, 0.0020500000937317964, 2.1707963267948966]	Right	0.02
11	[-2.5625342161743823, 1.3008340248580808, 0.0020500000937317964, 2.370796326794897]	[-2.3149335317014788, 1.4702267668765914, 0.0020500000937317964, 2.1707963267948966]	Right	0.02
12	[-2.396563568824204, 1.5578432546887675, 0.0020500000937317964, 2.370796326794897]	[-2.5625342161743823, 1.3008340248580808, 0.0020500000937317964, 2.370796326794897]	Left	0.02
13	[-2.5789462761476085, 1.456174439069693, 0.0020500000937317964, 2.370796326794897]	[-2.396563568824204, 1.5578432546887675, 0.0020500000937317964, 2.370796326794897]	Right	0.02
14	[-2.380151508850978, 1.4025028404771553, 0.0020500000937317964, 2.370796326794897]	[-2.5625342161743823, 1.3008340248580808, 0.0020500000937317964, 2.370796326794897]	Left	0.02
15	[-2.5891635216551276, 1.1872960132072985, 0.0020500000937317964, 2.370796326794897]	[-2.380151508850978, 1.4025028404771553, 0.0020500000937317964, 2.370796326794897]	Right	0.02
