i	f_sup	f_swg	f_swg_id	traj_params	h_max
0	[-2.4, 1.1, 0.000205, 1.5707963267948966]	[-2.2, 1.1, 0.000205, 1.5707963267948966]	Right	None	None
1	[-2.1999999999999997, 1.1600000000000001, 0.0020500000937317964, 1.7707963267948965]	[-2.4, 1.1, 0.000205, 1.5707963267948966]	Left	[-265.64166661459296, 15.969249998437789]	0.24
2	[-2.5397139194352363, 1.3258145136649673, 0.0020500000937317964, 1.7707963267948965]	[-2.1999999999999997, 1.1600000000000001, 0.0020500000937317964, 1.7707963267948965]	Right	[-13.562338918013504, 3.6083089719429826]	0.24
3	[-2.1, 1.1, 0.0020500000937317964, 1.7707963267948965]	[-2.4, 1.1, 0.000205, 1.5707963267948966]	Left	[-95.63099998125347, 9.581549999062673]	0.24
4	[-2.1, 1.33, 0.0020500000937317964, 1.5707963267948966]	[-2.4, 1.1, 0.000205, 1.5707963267948966]	Left	[-15.203656594793898, 3.82041417244939]	0.24
5	[-2.15, 1.28, 0.0020500000937317964, 1.7707963267948965]	[-2.4, 1.1, 0.000205, 1.5707963267948966]	Left	[-27.401432659384998, 5.128886125617575]	0.24
6	[-2.1999999999999997, 1.2000000000000002, 0.0020500000937317964, 1.5707963267948966]	[-2.4, 1.1, 0.000205, 1.5707963267948966]	Left	[-95.63099998125347, 9.581549999062673]	0.24
7	[-2.1999999999999997, 1.2400000000000002, 0.0020500000937317964, 1.5707963267948966]	[-2.4, 1.1, 0.000205, 1.5707963267948966]	Left	[-48.791326521047694, 6.843964285044767]	0.24
8	[-2.1, 1.2000000000000002, 0.0020500000937317964, 1.7707963267948965]	[-2.4, 1.1, 0.000205, 1.5707963267948966]	Left	[-47.815499990626726, 6.775178978615174]	0.24
9	[-2.405940133200076, 1.1992031954319564, 0.0020500000937317964, 1.9707963267948965]	[-2.1, 1.2000000000000002, 0.0020500000937317964, 1.7707963267948965]	Right	[-96.82623104928773, 9.641240919317681]	0.24
10	[-2.2146167189302197, 1.3886638804094076, 0.0020500000937317964, 2.1707963267948966]	[-2.405940133200076, 1.1992031954319564, 0.0020500000937317964, 1.9707963267948965]	Left	[-19.699964602027414, 4.348789028907509]	0.24
11	[-2.260669768630364, 1.369192963293975, 0.0020500000937317964, 2.1707963267948966]	[-2.405940133200076, 1.1992031954319564, 0.0020500000937317964, 1.9707963267948965]	Left	[-17.63375785504272, 4.114414604878926]	0.24
12	[-2.6099060983143736, 1.3483606319592065, 0.0020500000937317964, 1.9707963267948967]	[-2.260669768630364, 1.369192963293975, 0.0020500000937317964, 2.1707963267948966]	Right	[-15.035225702250912, 3.7991863173791405]	0.24
13	[-2.5460536186330884, 1.3435793310325712, 0.0020500000937317964, 2.370796326794897]	[-2.260669768630364, 1.369192963293975, 0.0020500000937317964, 2.1707963267948966]	Right	[-23.71760788419288, 4.771677228064066]	0.24
14	[-2.6099060983143736, 1.3483606319592065, 0.0020500000937317964, 2.370796326794897]	[-2.260669768630364, 1.369192963293975, 0.0020500000937317964, 2.1707963267948966]	Right	[-15.035225702250912, 3.7991863173791405]	0.24
15	[-2.4439354509641955, 1.6053698617898933, 0.0020500000937317964, 2.570796326794897]	[-2.6099060983143736, 1.3483606319592065, 0.0020500000937317964, 2.370796326794897]	Left	[-10.742359996389817, 3.211333927908187]	0.24
16	[-2.542300365534893, 1.5615025210738276, 0.0020500000937317964, 2.570796326794897]	[-2.6099060983143736, 1.3483606319592065, 0.0020500000937317964, 2.370796326794897]	Left	[-8.254602260696323, 2.815034310673401]	0.24
17	[-2.7681667645816264, 1.4688506469337879, 0.0020500000937317964, 2.370796326794897]	[-2.542300365534893, 1.5615025210738276, 0.0020500000937317964, 2.570796326794897]	Right	[-24.264309794523854, 4.826358606935761]	0.24
18	[-2.635556657351831, 1.652074393288959, 0.0020500000937317964, 2.1707963267948966]	[-2.6099060983143736, 1.3483606319592065, 0.0020500000937317964, 2.370796326794897]	Left	[-4.352516026045857, 2.0441172630267626]	0.24
