i	f_sup	f_swg	f_swg_id	traj_params	h_max
0	[-2.4, 1.1, 0.000205, 1.5707963267948966]	[-2.2, 1.1, 0.000205, 1.5707963267948966]	Right	None	None
1	[-2.15, 1.24, 0.0020500000937317964, 1.5707963267948966]	[-2.4, 1.1, 0.000205, 1.5707963267948966]	Left	[-43.271945692874944, 6.445248008684859]	0.24
2	[-2.4, 1.3, 0.0020500000937317964, 1.3707963267948966]	[-2.15, 1.24, 0.0020500000937317964, 1.5707963267948966]	Right	[-23.90774999531342, 4.790774999531342]	0.24
3	[-2.0861130935681214, 1.3384058585456058, 0.0020500000937317964, 1.5707963267948966]	[-2.4, 1.3, 0.0020500000937317964, 1.3707963267948966]	Left	[-69.74083385941415, 8.182371325296694]	0.24
4	[-2.2861130935681215, 1.3984058585456058, 0.0020500000937317964, 1.3707963267948966]	[-2.0861130935681214, 1.3384058585456058, 0.0020500000937317964, 1.5707963267948966]	Right	[-42.376733619633235, 6.378217954479755]	0.24
5	[-1.972226187136243, 1.4368117170912116, 0.0020500000937317964, 1.1707963267948966]	[-2.2861130935681215, 1.3984058585456058, 0.0020500000937317964, 1.3707963267948966]	Left	[-42.376733619633235, 6.378217954479755]	0.24
6	[-2.1323961340214073, 1.6999572815888935, 0.0020500000937317964, 1.1707963267948966]	[-1.972226187136243, 1.4368117170912116, 0.0020500000937317964, 1.1707963267948966]	Right	[-8.3797299492135, 2.8362899624765023]	0.24
7	[-1.9715490357593493, 1.5668099534869904, 0.0020500000937317964, 1.1707963267948966]	[-2.1323961340214073, 1.6999572815888935, 0.0020500000937317964, 1.1707963267948966]	Left	[-56.80473372781059, 7.384615384615381]	0.24
8	[-2.066195015828937, 1.856537650569384, 0.0020500000937317964, 1.1707963267948966]	[-1.9715490357593493, 1.5668099534869904, 0.0020500000937317964, 1.1707963267948966]	Right	[-33.217993079584765, 5.647058823529411]	0.24
9	[-1.7003104988970816, 1.9515561764974525, 0.0020500000937317964, 1.3707963267948966]	[-2.066195015828937, 1.856537650569384, 0.0020500000937317964, 1.1707963267948966]	Left	[-4.332129963898917, 2.0393245855780195]	0.24
10	[-1.9665167659381455, 2.148366296633745, 0.10000000149011612, 1.5707963267948966]	[-1.7003104988970816, 1.9515561764974525, 0.0020500000937317964, 1.3707963267948966]	Right	[-8.034724604435265, 2.7953928773206966]	0.24
11	[-1.7665167659381456, 2.148366296633745, 0.0020500000937317964, 1.3707963267948966]	[-1.9665167659381455, 2.148366296633745, 0.10000000149011612, 1.5707963267948966]	Left	[-22.264745214030885, 4.623219160441093]	0.24
12	[-1.9916664773189499, 2.2960402871166345, 0.10000000149011612, 1.5707963267948966]	[-1.7665167659381456, 2.148366296633745, 0.0020500000937317964, 1.3707963267948966]	Right	[-42.7805285689527, 6.408533952956369]	0.24
13	[-1.6916664773189498, 2.4760402871166347, 0.0020500000937317964, 1.5707963267948966]	[-1.9916664773189499, 2.2960402871166345, 0.10000000149011612, 1.5707963267948966]	Left	[-8.497619933184382, 2.8561714121979804]	0.24
14	[-1.9916664773189499, 2.4760402871166347, 0.10000000149011612, 1.7707963267948965]	[-1.6916664773189498, 2.4760402871166347, 0.0020500000937317964, 1.5707963267948966]	Right	[-29.629629629629573, 5.333333333333329]	0.24
15	[-1.7585699927063432, 2.5845116144858746, 0.0020500000937317964, 1.5707963267948966]	[-1.9916664773189499, 2.4760402871166347, 0.10000000149011612, 1.7707963267948965]	Left	[-59.10562392246754, 7.5326886943221565]	0.24
16	[-2.0085699927063434, 2.6845116144858747, 0.10000000149011612, 1.7707963267948965]	[-1.7585699927063432, 2.5845116144858746, 0.0020500000937317964, 1.5707963267948966]	Right	[-21.944851908555357, 4.589886472693322]	0.24
17	[-1.734416952433477, 2.842119071508517, 0.0020500000937317964, 1.5707963267948966]	[-2.0085699927063434, 2.6845116144858747, 0.10000000149011612, 1.7707963267948965]	Left	[-14.340136112023663, 3.7103275687656896]	0.24
18	[-1.984416952433477, 2.842119071508517, 0.10000000149011612, 1.7707963267948965]	[-1.734416952433477, 2.842119071508517, 0.0020500000937317964, 1.5707963267948966]	Right	[-37.76036975078818, 6.02079354908941]	0.24
19	[-1.727480148125463, 2.832982409536808, 0.0020500000937317964, 1.9707963267948965]	[-1.984416952433477, 2.842119071508517, 0.10000000149011612, 1.7707963267948965]	Left	[-7294.952229319593, 83.68485012322606]	0.24
20	[-2.0122639645493954, 2.864576363120049, 0.10000000149011612, 1.7707963267948965]	[-1.727480148125463, 2.832982409536808, 0.0020500000937317964, 1.9707963267948965]	Right	[-750.1253938268422, 26.83505874921403]	0.24
21	[-1.7553271602413814, 2.85543970114834, 0.0020500000937317964, 1.9707963267948965]	[-2.0122639645493954, 2.864576363120049, 0.10000000149011612, 1.7707963267948965]	Left	[-750.1253938268422, 26.83505874921403]	0.24
22	[-2.070587292673112, 2.8307202978560335, 0.10000000149011612, 2.1707963267948966]	[-1.7553271602413814, 2.85543970114834, 0.0020500000937317964, 1.9707963267948965]	Right	[-211.08904592141351, 14.235360342631196]	0.24
23	[-1.9941211578265507, 3.1617081076340185, 0.20000000670552254, 1.9707963267948967]	[-2.070587292673112, 2.8307202978560335, 0.10000000149011612, 2.1707963267948966]	Left	[-3.7401478755774504, 1.9622295226001643]	0.24
24	[-2.3600056747584057, 3.256726633562087, 0.20000000670552254, 2.1707963267948966]	[-1.9941211578265507, 3.1617081076340185, 0.20000000670552254, 1.9707963267948967]	Right	[-2.865281964261598, 1.6698418394022314]	0.24
