i	f_sup	f_swg	f_swg_id	traj_params	h_max
0	[-2.4, 1.1, 0.000205, 1.5707963267948966]	[-2.2, 1.1, 0.000205, 1.5707963267948966]	Right	None	None
1	[-2.1999999999999997, 1.2400000000000002, 0.0020500000937317964, 1.5707963267948966]	[-2.4, 1.1, 0.000205, 1.5707963267948966]	Left	[-48.791326521047694, 6.843964285044767]	0.24
2	[-2.1, 1.28, 0.0020500000937317964, 1.7707963267948965]	[-2.4, 1.1, 0.000205, 1.5707963267948966]	Left	[-22.554481127654164, 4.65321202677942]	0.24
3	[-2.1999999999999997, 1.1600000000000001, 0.0020500000937317964, 1.7707963267948965]	[-2.4, 1.1, 0.000205, 1.5707963267948966]	Left	[-265.64166661459296, 15.969249998437789]	0.24
4	[-2.529780452895483, 1.2768111847729053, 0.0020500000937317964, 1.5707963267948966]	[-2.1999999999999997, 1.1600000000000001, 0.0020500000937317964, 1.7707963267948965]	Right	[-19.87957174747188, 4.368576385933763]	0.24
5	[-2.521833679663681, 1.2376085216592556, 0.0020500000937317964, 1.9707963267948965]	[-2.1999999999999997, 1.1600000000000001, 0.0020500000937317964, 1.7707963267948965]	Right	[-28.31032322937994, 5.213253405694136]	0.24
6	[-2.2915684311629594, 1.334963107236418, 0.0020500000937317964, 2.1707963267948966]	[-2.521833679663681, 1.2376085216592556, 0.0020500000937317964, 1.9707963267948965]	Left	[-24.61736253874255, 4.861344262361271]	0.24
7	[-2.4569368043080138, 1.1691366619717094, 0.0020500000937317964, 1.9707963267948965]	[-2.1999999999999997, 1.1600000000000001, 0.0020500000937317964, 1.7707963267948965]	Right	[-119.2157094787179, 10.698014089206524]	0.24
8	[-2.2507138077227054, 1.4517531435848239, 0.0020500000937317964, 2.1707963267948966]	[-2.4569368043080138, 1.1691366619717094, 0.0020500000937317964, 1.9707963267948965]	Left	[-10.947433413182715, 3.2418414638373982]	0.24
9	[-2.157253405568629, 1.2306985050241315, 0.0020500000937317964, 1.7707963267948965]	[-2.4569368043080138, 1.1691366619717094, 0.0020500000937317964, 1.9707963267948965]	Left	[-140.64800745666003, 11.619900479711244]	0.24
10	[-2.4907105905431743, 1.3357479802047205, 0.0020500000937317964, 1.9707963267948965]	[-2.1999999999999997, 1.1600000000000001, 0.0020500000937317964, 1.7707963267948965]	Right	[-14.987887861741916, 3.7932078373435387]	0.24
11	[-2.253334126573174, 1.544679582297604, 0.0020500000937317964, 1.9707963267948965]	[-2.4907105905431743, 1.3357479802047205, 0.0020500000937317964, 1.9707963267948965]	Left	[-6.365080738740517, 2.4719380067450913]	0.24
12	[-2.2831332912040785, 1.3583679890262774, 0.0020500000937317964, 1.9707963267948965]	[-2.4907105905431743, 1.3357479802047205, 0.0020500000937317964, 1.9707963267948965]	Left	[-20.751819763442796, 4.463378425912941]	0.24
13	[-2.582816689943463, 1.2968061459738554, 0.0020500000937317964, 1.9707963267948965]	[-2.2831332912040785, 1.3583679890262774, 0.0020500000937317964, 1.9707963267948965]	Right	[-95.99999999999957, 9.599999999999978]	0.24
14	[-2.352551441442742, 1.3941607315510178, 0.0020500000937317964, 2.1707963267948966]	[-2.582816689943463, 1.2968061459738554, 0.0020500000937317964, 1.9707963267948965]	Left	[-157.37704918032742, 12.291540473557996]	0.24
15	[-2.5662735775119434, 1.1752478526379266, 0.0020500000937317964, 1.9707963267948967]	[-2.352551441442742, 1.3941607315510178, 0.0020500000937317964, 2.1707963267948966]	Right	[-63.78698020019941, 7.825311558793773]	0.24
16	[-2.3820613787113665, 1.2531315210996568, 0.0020500000937317964, 1.7707963267948967]	[-2.5662735775119434, 1.1752478526379266, 0.0020500000937317964, 1.9707963267948967]	Left	[-46.242608400181794, 6.662800016822846]	0.24
17	[-2.266590178772559, 1.2368096956903487, 0.0020500000937317964, 2.1707963267948966]	[-2.5662735775119434, 1.1752478526379266, 0.0020500000937317964, 1.9707963267948967]	Left	[-29.86125047765519, 5.3541386289999044]	0.24
18	[-2.4390455340962762, 1.046128940447009, 0.0020500000937317964, 2.370796326794897]	[-2.266590178772559, 1.2368096956903487, 0.0020500000937317964, 2.1707963267948966]	Right	[-29.216034712751195, 5.295978976944787]	0.24
19	[-2.299704192226843, 1.1896001586269136, 0.0020500000937317964, 2.570796326794897]	[-2.4390455340962762, 1.046128940447009, 0.0020500000937317964, 2.370796326794897]	Left	[-288.69764275050625, 16.64781478274209]	0.24
20	[-2.357276394311997, 0.9888878233132459, 0.0020500000937317964, 2.770796326794897]	[-2.299704192226843, 1.1896001586269136, 0.0020500000937317964, 2.570796326794897]	Right	[-96.35905589130165, 9.617936039278364]	0.24
21	[-2.379054540004407, 1.319229634730148, 0.0020500000937317964, 2.570796326794897]	[-2.357276394311997, 0.9888878233132459, 0.0020500000937317964, 2.770796326794897]	Left	[-41.55794004366285, 6.316298159675201]	0.24
22	[-2.3226093008508624, 1.2436390600736529, 0.0020500000937317964, 2.570796326794897]	[-2.357276394311997, 0.9888878233132459, 0.0020500000937317964, 2.770796326794897]	Left	[-278.67711862015835, 16.356345370386137]	0.24
23	[-2.379054540004407, 1.319229634730148, 0.0020500000937317964, 2.770796326794897]	[-2.357276394311997, 0.9888878233132459, 0.0020500000937317964, 2.770796326794897]	Left	[-41.55794004366285, 6.316298159675201]	0.24
24	[-2.4163361034430957, 1.3337239449092149, 0.0020500000937317964, 2.770796326794897]	[-2.357276394311997, 0.9888878233132459, 0.0020500000937317964, 2.770796326794897]	Left	[-27.92754206146144, 5.177879911605037]	0.24
25	[-2.5250434297860975, 1.0541122191190468, 0.0020500000937317964, 2.9707963267948974]	[-2.4163361034430957, 1.3337239449092149, 0.0020500000937317964, 2.770796326794897]	Right	[-29.62962962962972, 5.333333333333342]	0.24
26	[-2.533180270715333, 1.3599451666895992, 0.0020500000937317964, 3.1707963267948975]	[-2.5250434297860975, 1.0541122191190468, 0.0020500000937317964, 2.9707963267948974]	Left	[-66.94508431189678, 8.016687653851864]	0.24
27	[-2.755782318839557, 1.1033358757999263, 0.0020500000937317964, 3.3707963267948977]	[-2.533180270715333, 1.3599451666895992, 0.0020500000937317964, 3.1707963267948975]	Right	[-17.24652003128742, 4.068987494455583]	0.24
28	[-2.7007067248133714, 1.3888395809826402, 0.0020500000937317964, 2.770796326794897]	[-2.5250434297860975, 1.0541122191190468, 0.0020500000937317964, 2.9707963267948974]	Left	[-11.441595282297557, 3.314201483163879]	0.24
29	[-2.506925542062264, 1.1007141734174082, 0.0020500000937317964, 2.570796326794897]	[-2.4163361034430957, 1.3337239449092149, 0.0020500000937317964, 2.770796326794897]	Right	[-27.507163323782333, 5.138762184693026]	0.24
30	[-2.7031766441108926, 1.2306584112454044, 0.0020500000937317964, 2.570796326794897]	[-2.4163361034430957, 1.3337239449092149, 0.0020500000937317964, 2.770796326794897]	Right	[-5.390230207748456, 2.274779329833669]	0.24
31	[-2.6001294506589865, 1.1369499488650756, 0.0020500000937317964, 2.770796326794897]	[-2.4163361034430957, 1.3337239449092149, 0.0020500000937317964, 2.770796326794897]	Right	[-11.866501854140935, 3.375180258886227]	0.24
32	[-2.6208618083603743, 1.3595935415061882, 0.0020500000937317964, 2.770796326794897]	[-2.6001294506589865, 1.1369499488650756, 0.0020500000937317964, 2.770796326794897]	Left	[-22.588235294117723, 4.6566840006976005]	0.24
33	[-2.729569134703376, 1.0799818157160201, 0.0020500000937317964, 2.570796326794897]	[-2.6208618083603743, 1.3595935415061882, 0.0020500000937317964, 2.770796326794897]	Right	[-48.00000000000015, 6.788225099390867]	0.24
34	[-2.804655155576265, 1.162819545462049, 0.0020500000937317964, 2.9707963267948974]	[-2.6208618083603743, 1.3595935415061882, 0.0020500000937317964, 2.770796326794897]	Right	[-22.588235294117723, 4.6566840006976005]	0.24
35	[-2.8212903536505127, 1.4193800065331783, 0.0020500000937317964, 2.770796326794897]	[-2.804655155576265, 1.162819545462049, 0.0020500000937317964, 2.9707963267948974]	Left	[-21.94485190855541, 4.589886472693327]	0.24
