i	f_sup	f_swg	f_swg_id	traj_params	h_max
0	[3.3, -0.1, 0.000205, 3.141592653589793]	[3.3, 0.1, 0.000205, 3.141592653589793]	Right	None
1	[3.3, 0.19999999999999998, 0.0020500000937317964, 2.941592653589793]	[3.3, -0.1, 0.000205, 3.141592653589793]	Left	0.02
2	[3.2602661338409877, 0.0039866844317516525, 0.0020500000937317964, 2.7415926535897928]	[3.3, 0.19999999999999998, 0.0020500000937317964, 2.941592653589793]	Right	0.02
3	[3.3023570597779774, 0.2576170334709919, 0.0020500000937317964, 2.5415926535897926]	[3.2602661338409877, 0.0039866844317516525, 0.0020500000937317964, 2.7415926535897928]	Left	0.02
4	[3.050430756268499, 0.06648059633759215, 0.0020500000937317964, 2.5415926535897926]	[3.3023570597779774, 0.2576170334709919, 0.0020500000937317964, 2.5415926535897926]	Right	0.02
5	[2.97353205951828, 0.36141548820038605, 0.0020500000937317964, 2.7415926535897928]	[3.050430756268499, 0.06648059633759215, 0.0020500000937317964, 2.5415926535897926]	Left	0.02
6	[2.7298574121360306, 0.24729859101536622, 0.0020500000937317964, 2.7415926535897928]	[2.97353205951828, 0.36141548820038605, 0.0020500000937317964, 2.7415926535897928]	Right	0.02
7	[2.735105898312905, 0.5165056737469526, 0.0020500000937317964, 2.941592653589793]	[2.7298574121360306, 0.24729859101536622, 0.0020500000937317964, 2.7415926535897928]	Left	0.02
8	[2.499093115062963, 0.25824617993769117, 0.0020500000937317964, 3.141592653589793]	[2.735105898312905, 0.5165056737469526, 0.0020500000937317964, 2.941592653589793]	Right	0.02
9	[2.439093115062963, 0.4582461799376912, 0.0020500000937317964, 3.3415926535897933]	[2.499093115062963, 0.25824617993769117, 0.0020500000937317964, 3.141592653589793]	Left	0.02
10	[2.3222819302900577, 0.1284657270422077, 0.0020500000937317964, 3.141592653589793]	[2.439093115062963, 0.4582461799376912, 0.0020500000937317964, 3.3415926535897933]	Right	0.02
11	[2.1422819302900575, 0.3784657270422077, 0.0020500000937317964, 3.3415926535897933]	[2.3222819302900577, 0.1284657270422077, 0.0020500000937317964, 3.141592653589793]	Left	0.02
12	[2.054739942091049, 0.10563537627058872, 0.0020500000937317964, 3.3415926535897933]	[2.1422819302900575, 0.3784657270422077, 0.0020500000937317964, 3.3415926535897933]	Right	0.02
13	[1.8777967550342627, 0.2738349855275285, 0.0020500000937317964, 3.5415926535897935]	[2.054739942091049, 0.10563537627058872, 0.0020500000937317964, 3.3415926535897933]	Left	0.02
14	[1.8267318843355889, 0.03510421880374037, 0.0020500000937317964, 3.3415926535897933]	[1.8777967550342627, 0.2738349855275285, 0.0020500000937317964, 3.5415926535897935]	Right	0.02
15	[1.7869980181765766, 0.2311175343719887, 0.0020500000937317964, 3.3415926535897933]	[1.8267318843355889, 0.03510421880374037, 0.0020500000937317964, 3.3415926535897933]	Left	0.02
16	[1.7778613562048673, -0.025819269936025374, 0.0020500000937317964, 3.5415926535897935]	[1.7869980181765766, 0.2311175343719887, 0.0020500000937317964, 3.3415926535897933]	Right	0.02
