i	f_sup	f_swg	f_swg_id	traj_params	h_max
0	[3.3, -0.1, 0.000205, 3.141592653589793]	[3.3, 0.1, 0.000205, 3.141592653589793]	Right	None	None
1	[3.1199999999999997, 0.10000000000000003, 0.0020500000937317964, 2.941592653589793]	[3.3, -0.1, 0.000205, 3.141592653589793]	Left	[-29.515740734954772, 5.323083332812597]	0.24
2	[2.8839872167500578, -0.15825949380926135, 0.0020500000937317964, 2.941592653589793]	[3.1199999999999997, 0.10000000000000003, 0.0020500000937317964, 2.941592653589793]	Right	[-5.419390457917215, 2.2809283483149976]	0.24
3	[3.002392010659051, 0.12384031969540743, 0.0020500000937317964, 2.7415926535897928]	[2.8839872167500578, -0.15825949380926135, 0.0020500000937317964, 2.941592653589793]	Left	[-66.66666666666693, 8.000000000000016]	0.24
4	[2.673722479345792, -0.0629117597744683, 0.0020500000937317964, 2.941592653589793]	[3.002392010659051, 0.12384031969540743, 0.0020500000937317964, 2.7415926535897928]	Right	[-18.010429102893582, 4.158126012854569]	0.24
5	[2.713456345504804, 0.13310155579378002, 0.0020500000937317964, 3.141592653589793]	[2.673722479345792, -0.0629117597744683, 0.0020500000937317964, 2.941592653589793]	Left	[-11.487432335474276, 3.3208334860476376]	0.24
6	[2.653456345504804, -0.11689844420621998, 0.0020500000937317964, 3.3415926535897933]	[2.713456345504804, 0.13310155579378002, 0.0020500000937317964, 3.141592653589793]	Right	[-288.69764275050574, 16.647814782742074]	0.24
7	[2.4958488884821617, 0.15725459606664632, 0.0020500000937317964, 3.141592653589793]	[2.653456345504804, -0.11689844420621998, 0.0020500000937317964, 3.3415926535897933]	Left	[-20.026545726123818, 4.384687434365062]	0.24
8	[2.3558488884821616, -0.09274540393335365, 0.0020500000937317964, 3.3415926535897933]	[2.4958488884821617, 0.15725459606664632, 0.0020500000937317964, 3.141592653589793]	Right	[-10.767936980733662, 3.2151546621436915]	0.24
9	[2.0807662428799105, 0.10657729444409267, 0.0020500000937317964, 3.141592653589793]	[2.3558488884821616, -0.09274540393335365, 0.0020500000937317964, 3.3415926535897933]	Left	[-5.490050120876777, 2.2957456557819524]	0.24
10	[1.8507662428799105, -0.1434227055559073, 0.0020500000937317964, 3.3415926535897933]	[2.0807662428799105, 0.10657729444409267, 0.0020500000937317964, 3.141592653589793]	Right	[-3.7255992490118004, 1.8911835656676292]	0.24
11	[1.8698363713913728, 0.0645107698600447, 0.0020500000937317964, 3.3415926535897933]	[1.8507662428799105, -0.1434227055559073, 0.0020500000937317964, 3.3415926535897933]	Left	[-20.75181976344283, 4.4633784259129445]	0.24
12	[1.7530251866184676, -0.26526968303543874, 0.0020500000937317964, 3.141592653589793]	[1.8698363713913728, 0.0645107698600447, 0.0020500000937317964, 3.3415926535897933]	Right	[-39.34426229508198, 6.145770236779008]	0.24
13	[1.7530251866184676, 0.03473031696456125, 0.0020500000937317964, 3.3415926535897933]	[1.7530251866184676, -0.26526968303543874, 0.0020500000937317964, 3.141592653589793]	Left	[-66.06234183882111, 7.963657963854818]	0.24
14	[1.7438885246467584, -0.22220648734345283, 0.0020500000937317964, 3.141592653589793]	[1.7530251866184676, 0.03473031696456125, 0.0020500000937317964, 3.3415926535897933]	Right	[-495.37714686624525, 21.807385468955133]	0.24
15	[1.8038885246467584, -0.02220648734345282, 0.0020500000937317964, 2.941592653589793]	[1.7438885246467584, -0.22220648734345283, 0.0020500000937317964, 3.141592653589793]	Left	[-164.6971958622542, 12.574152378103426]	0.24
16	[1.764154658487746, -0.21821980291170115, 0.0020500000937317964, 2.941592653589793]	[1.8038885246467584, -0.02220648734345282, 0.0020500000937317964, 2.941592653589793]	Right	[-2250.2997454505808, 46.47889580909337]	0.24
17	[1.755017996516037, 0.03871700139631293, 0.0020500000937317964, 3.141592653589793]	[1.764154658487746, -0.21821980291170115, 0.0020500000937317964, 2.941592653589793]	Left	[-157.3770491803281, 12.291540473558022]	0.24
18	[1.755017996516037, -0.16128299860368708, 0.0020500000937317964, 3.141592653589793]	[1.755017996516037, 0.03871700139631293, 0.0020500000937317964, 3.141592653589793]	Right	[-288.6976427505068, 16.647814782742103]	0.24
19	[1.755017996516037, 0.08871700139631292, 0.0020500000937317964, 2.941592653589793]	[1.755017996516037, -0.16128299860368708, 0.0020500000937317964, 3.141592653589793]	Left	[-384.00000000000017, 19.200000000000003]	0.24
20	[1.470001884374033, -0.1596090258731954, 0.10000000149011612, 3.141592653589793]	[1.755017996516037, 0.08871700139631292, 0.0020500000937317964, 2.941592653589793]	Right	[-9.40581416661367, 3.0245136818451255]	0.24
21	[1.470001884374033, 0.04039097412680462, 0.10000000149011612, 3.141592653589793]	[1.470001884374033, -0.1596090258731954, 0.10000000149011612, 3.141592653589793]	Left	[-9.143278141098087, 2.9820046895939663]	0.24
22	[1.290001884374033, -0.25960902587319534, 0.10000000149011612, 3.141592653589793]	[1.470001884374033, 0.04039097412680462, 0.10000000149011612, 3.141592653589793]	Right	[-22.64150943396228, 4.66217213931487]	0.24
23	[1.1900018843740332, -0.05960902587319533, 0.10000000149011612, 2.941592653589793]	[1.290001884374033, -0.25960902587319534, 0.10000000149011612, 3.141592653589793]	Left	[-10.859728506787347, 3.228829411182302]	0.24
24	[1.0323944273513905, -0.33376206614606163, 0.10000000149011612, 2.941592653589793]	[1.1900018843740332, -0.05960902587319533, 0.10000000149011612, 2.941592653589793]	Right	[-13.359258589727306, 3.581185313012748]	0.24
