i	f_sup	f_swg	f_swg_id	traj_params	h_max
0	[3.3, -0.1, 0.000205, 3.141592653589793]	[3.3, 0.1, 0.000205, 3.141592653589793]	Right	None	None
1	[3.2399999999999998, 0.1, 0.0020500000937317964, 2.941592653589793]	[3.3, -0.1, 0.000205, 3.141592653589793]	Left	[-265.64166661459296, 15.969249998437789]	0.24
2	[3.259070128511462, -0.10793347541595202, 0.0020500000937317964, 2.941592653589793]	[3.2399999999999998, 0.1, 0.0020500000937317964, 2.941592653589793]	Right	[-550.1743608633986, 22.981935183910338]	0.24
3	[3.3186709277499804, 0.18608649793642043, 0.0020500000937317964, 2.941592653589793]	[3.259070128511462, -0.10793347541595202, 0.0020500000937317964, 2.941592653589793]	Left	[-70.58823529411768, 8.231932086840427]	0.24
4	[3.0535217486874826, 0.035767128451036245, 0.0020500000937317964, 3.141592653589793]	[3.3186709277499804, 0.18608649793642043, 0.0020500000937317964, 2.941592653589793]	Right	[-15.262321144674102, 3.8277706695787224]	0.24
5	[2.9935217486874826, 0.23576712845103626, 0.0020500000937317964, 3.3415926535897933]	[3.0535217486874826, 0.035767128451036245, 0.0020500000937317964, 3.141592653589793]	Left	[-8.873265886293328, 2.918618723102008]	0.24
6	[3.0925916110397917, -0.023169666980778908, 0.0020500000937317964, 2.941592653589793]	[3.3186709277499804, 0.18608649793642043, 0.0020500000937317964, 2.941592653589793]	Right	[-27.507163323782322, 5.138762184693025]	0.24
7	[2.9757804262668865, 0.3066107859147046, 0.0020500000937317964, 2.7415926535897928]	[3.0925916110397917, -0.023169666980778908, 0.0020500000937317964, 2.941592653589793]	Left	[-7.267221801665406, 2.6413127284740043]	0.24
8	[2.7689482186447525, 0.17691715503733874, 0.0020500000937317964, 2.7415926535897928]	[2.9757804262668865, 0.3066107859147046, 0.0020500000937317964, 2.7415926535897928]	Right	[-6.630760097546846, 2.5230001374643187]	0.24
9	[2.8589549235742915, 0.030292487713839134, 0.0020500000937317964, 2.941592653589793]	[2.9757804262668865, 0.3066107859147046, 0.0020500000937317964, 2.7415926535897928]	Right	[-16.711839780880293, 4.005417105576532]	0.24
10	[2.91855572281281, 0.3243124610662116, 0.0020500000937317964, 2.941592653589793]	[2.8589549235742915, 0.030292487713839134, 0.0020500000937317964, 2.941592653589793]	Left	[-267.557336159161, 16.026697810615715]	0.24
11	[3.2010629384090317, 0.2099268176318278, 0.0020500000937317964, 2.941592653589793]	[3.0925916110397917, -0.023169666980778908, 0.0020500000937317964, 2.941592653589793]	Left	[-66.66666666666694, 8.000000000000016]	0.24
12	[3.1613290722500196, 0.01391350206357947, 0.0020500000937317964, 3.141592653589793]	[3.2010629384090317, 0.2099268176318278, 0.0020500000937317964, 2.941592653589793]	Right	[-157.37704918032694, 12.291540473557976]	0.24
13	[2.9313290722500196, 0.26391350206357955, 0.0020500000937317964, 3.3415926535897933]	[3.1613290722500196, 0.01391350206357947, 0.0020500000937317964, 3.141592653589793]	Left	[-12.686511433535932, 3.489849706820409]	0.24
14	[3.0141862848124923, -0.007276120517173995, 0.0020500000937317964, 2.7415926535897928]	[3.2010629384090317, 0.2099268176318278, 0.0020500000937317964, 2.941592653589793]	Right	[-149.99999999999952, 11.99999999999998]	0.24
15	[3.0194347709893665, 0.26193096221441237, 0.0020500000937317964, 2.941592653589793]	[3.0141862848124923, -0.007276120517173995, 0.0020500000937317964, 2.7415926535897928]	Left	[-26.89586255812543, 5.081341167034586]	0.24
16	[3.038905688104799, 0.3079840119145566, 0.0020500000937317964, 2.7415926535897928]	[3.0141862848124923, -0.007276120517173995, 0.0020500000937317964, 2.7415926535897928]	Left	[-26.73336107307741, 5.0659674920151545]	0.24
17	[2.7931316462518, 0.08618428163690228, 0.0020500000937317964, 2.5415926535897926]	[3.038905688104799, 0.3079840119145566, 0.0020500000937317964, 2.7415926535897928]	Right	[-16.66666666666666, 3.999999999999999]	0.24
18	[2.9838124014951397, 0.2586396369606196, 0.0020500000937317964, 2.5415926535897926]	[2.7931316462518, 0.08618428163690228, 0.0020500000937317964, 2.5415926535897926]	Left	[-175.4983284939457, 12.979922779207428]	0.24
19	[2.879990826779343, 0.39024921344930924, 0.0020500000937317964, 2.7415926535897928]	[2.7931316462518, 0.08618428163690228, 0.0020500000937317964, 2.5415926535897926]	Left	[-29.97986052873592, 5.364761514511756]	0.24
20	[2.7931316462518, 0.08618428163690228, 0.0020500000937317964, 2.7415926535897928]	[3.038905688104799, 0.3079840119145566, 0.0020500000937317964, 2.7415926535897928]	Right	[-16.66666666666666, 3.999999999999999]	0.24
21	[2.7052243357930106, 0.34049178205303643, 0.0020500000937317964, 2.5415926535897926]	[2.7931316462518, 0.08618428163690228, 0.0020500000937317964, 2.7415926535897928]	Left	[-8.5409252669039, 2.8634399341050867]	0.24
22	[2.3460044023452737, 0.22275886646099136, 0.0020500000937317964, 2.3415926535897924]	[2.7052243357930106, 0.34049178205303643, 0.0020500000937317964, 2.5415926535897926]	Right	[-4.392077270717197, 2.0533860279763543]	0.24
23	[2.5427757042194226, 0.209303207474803, 0.0020500000937317964, 2.3415926535897924]	[2.7052243357930106, 0.34049178205303643, 0.0020500000937317964, 2.5415926535897926]	Right	[-12.33356629391016, 3.440962604003966]	0.24
24	[2.6524440560095868, 0.45521549390154653, 0.0020500000937317964, 2.1415926535897922]	[2.5427757042194226, 0.209303207474803, 0.0020500000937317964, 2.3415926535897924]	Left	[-60.19832339781777, 7.601999109570131]	0.24
25	[2.408507536226468, 0.46496097060102437, 0.0020500000937317964, 2.3415926535897924]	[2.6524440560095868, 0.45521549390154653, 0.0020500000937317964, 2.1415926535897922]	Right	[-11.512332862356667, 3.324430710341607]	0.24
26	[2.432420898919306, 0.24263654305263105, 0.0020500000937317964, 2.3415926535897924]	[2.6524440560095868, 0.45521549390154653, 0.0020500000937317964, 2.1415926535897922]	Right	[-72.23859878095043, 8.32760798967581]	0.24
27	[2.7615376926685586, 0.37096809806083464, 0.0020500000937317964, 2.5415926535897926]	[2.7931316462518, 0.08618428163690228, 0.0020500000937317964, 2.7415926535897928]	Left	[-11.866501854140902, 3.375180258886222]	0.24
28	[2.402317759220822, 0.25323518246878957, 0.0020500000937317964, 2.5415926535897926]	[2.7615376926685586, 0.37096809806083464, 0.0020500000937317964, 2.5415926535897926]	Right	[-5.3143934914049735, 2.2587203792742416]	0.24
29	[2.866816525772031, 0.05503081425221018, 0.0020500000937317964, 2.7415926535897928]	[3.038905688104799, 0.3079840119145566, 0.0020500000937317964, 2.7415926535897928]	Right	[-37.50000000000005, 6.0000000000000036]	0.24
30	[2.9641711113491938, 0.2852960627529314, 0.0020500000937317964, 2.7415926535897928]	[2.866816525772031, 0.05503081425221018, 0.0020500000937317964, 2.7415926535897928]	Left	[-157.37704918032895, 12.291540473558054]	0.24
31	[2.7789092153132415, 0.3093383146683443, 0.0020500000937317964, 2.7415926535897928]	[2.866816525772031, 0.05503081425221018, 0.0020500000937317964, 2.7415926535897928]	Left	[-14.201183431952648, 3.6923076923076903]	0.24
32	[2.569977613220358, 0.07196185069834396, 0.0020500000937317964, 2.5415926535897926]	[2.7789092153132415, 0.3093383146683443, 0.0020500000937317964, 2.7415926535897928]	Right	[-10.859728506787317, 3.2288294111822977]	0.24
33	[2.5157636508155594, 0.14916836778318027, 0.0020500000937317964, 2.7415926535897928]	[2.7789092153132415, 0.3093383146683443, 0.0020500000937317964, 2.7415926535897928]	Right	[-7.267221801665393, 2.641312728474002]	0.24
34	[2.552606090575675, 0.13359163409083424, 0.0020500000937317964, 2.7415926535897928]	[2.7789092153132415, 0.3093383146683443, 0.0020500000937317964, 2.7415926535897928]	Right	[-9.151572926596748, 2.9640361012533023]	0.24
35	[2.775760123607117, 0.14781406502939254, 0.0020500000937317964, 2.5415926535897926]	[3.038905688104799, 0.3079840119145566, 0.0020500000937317964, 2.7415926535897928]	Right	[-11.866501854140909, 3.375180258886223]	0.24
36	[2.86261930413466, 0.4518789968417995, 0.0020500000937317964, 2.3415926535897924]	[2.775760123607117, 0.14781406502939254, 0.0020500000937317964, 2.5415926535897926]	Left	[-18.53902593537474, 4.218704172842622]	0.24
37	[2.8862874428874634, 0.10108386395235444, 0.0020500000937317964, 2.7415926535897928]	[3.038905688104799, 0.3079840119145566, 0.0020500000937317964, 2.7415926535897928]	Right	[-34.1637010676157, 5.726879868210182]	0.24
38	[2.928378368824453, 0.35471421299159467, 0.0020500000937317964, 2.7415926535897928]	[2.8862874428874634, 0.10108386395235444, 0.0020500000937317964, 2.7415926535897928]	Left	[-66.66666666666688, 8.000000000000012]	0.24
