i	f_sup	f_swg	f_swg_id	traj_params	h_max
0	[3.3, -0.1, 0.000205, 3.141592653589793]	[3.3, 0.1, 0.000205, 3.141592653589793]	Right	None	None
1	[3.1199999999999997, 0.15, 0.0020500000937317964, 3.141592653589793]	[3.3, -0.1, 0.000205, 3.141592653589793]	Left	[-27.40143265938496, 5.128886125617571]	0.24
2	[2.9799999999999995, -0.04999999999999999, 0.0020500000937317964, 3.141592653589793]	[3.1199999999999997, 0.15, 0.0020500000937317964, 3.141592653589793]	Right	[-9.116396566373066, 2.9583395940818047]	0.24
3	[2.7499999999999996, 0.20000000000000007, 0.0020500000937317964, 3.3415926535897933]	[2.9799999999999995, -0.04999999999999999, 0.0020500000937317964, 3.141592653589793]	Left	[-6.886657101865132, 2.571223603226784]	0.24
4	[2.672391478340744, -0.12183367966368097, 0.0020500000937317964, 3.3415926535897933]	[2.7499999999999996, 0.20000000000000007, 0.0020500000937317964, 3.3415926535897933]	Right	[-9.620869577644369, 3.03908453231209]	0.24
5	[2.397308832738493, 0.07748901871376535, 0.0020500000937317964, 3.3415926535897933]	[2.672391478340744, -0.12183367966368097, 0.0020500000937317964, 3.3415926535897933]	Left	[-6.886657101865129, 2.5712236032267834]	0.24
6	[2.280497647965588, -0.2522914341817181, 0.0020500000937317964, 3.3415926535897933]	[2.397308832738493, 0.07748901871376535, 0.0020500000937317964, 3.3415926535897933]	Right	[-5.627198124267286, 2.3242440059719622]	0.24
7	[2.005415002363337, -0.052968735804271805, 0.0020500000937317964, 3.5415926535897935]	[2.280497647965588, -0.2522914341817181, 0.0020500000937317964, 3.3415926535897933]	Left	[-5.627198124267286, 2.3242440059719622]	0.24
8	[2.0301344056556436, -0.36822886823600237, 0.0020500000937317964, 3.3415926535897933]	[2.005415002363337, -0.052968735804271805, 0.0020500000937317964, 3.5415926535897935]	Right	[-12.611128721943757, 3.479465989640653]	0.24
9	[1.9904005394966313, -0.17221555266775404, 0.0020500000937317964, 3.141592653589793]	[2.0301344056556436, -0.36822886823600237, 0.0020500000937317964, 3.3415926535897933]	Left	[-66.45789000249445, 7.987463577531647]	0.24
10	[1.8504005394966312, -0.422215552667754, 0.0020500000937317964, 2.941592653589793]	[1.9904005394966313, -0.17221555266775404, 0.0020500000937317964, 3.141592653589793]	Right	[-27.258149784276846, 5.115449520120961]	0.24
11	[1.7628585512976227, -0.14938520189613497, 0.0020500000937317964, 3.141592653589793]	[1.8504005394966312, -0.422215552667754, 0.0020500000937317964, 2.941592653589793]	Left	[-18.356840465555052, 4.197924111621463]	0.24
12	[1.8228585512976228, -0.39938520189613497, 0.0020500000937317964, 2.941592653589793]	[1.7628585512976227, -0.14938520189613497, 0.0020500000937317964, 3.141592653589793]	Right	[-750.1253938268463, 26.835058749214106]	0.24
13	[1.764585759672511, -0.18350495324838048, 0.0020500000937317964, 3.141592653589793]	[1.8228585512976228, -0.39938520189613497, 0.0020500000937317964, 2.941592653589793]	Left	[-822.5229533491537, 28.100214148920422]	0.24
14	[1.764585759672511, -0.3835049532483805, 0.0020500000937317964, 2.941592653589793]	[1.764585759672511, -0.18350495324838048, 0.0020500000937317964, 3.141592653589793]	Right	[-263.16506967145096, 15.89460496157715]	0.24
15	[1.765382564240555, -0.0775648200483044, 0.0020500000937317964, 2.941592653589793]	[1.764585759672511, -0.3835049532483805, 0.0020500000937317964, 2.941592653589793]	Left	[-85.53141100464947, 9.06146536518589]	0.24
16	[1.480366452098551, -0.3258908473178127, 0.10000000149011612, 2.7415926535897928]	[1.765382564240555, -0.0775648200483044, 0.0020500000937317964, 2.941592653589793]	Right	[-9.085612333022961, 2.972586202081433]	0.24
17	[1.4119300587551944, -0.025530297201534324, 0.10000000149011612, 2.941592653589793]	[1.480366452098551, -0.3258908473178127, 0.10000000149011612, 2.7415926535897928]	Left	[-5.986543056546878, 2.412933825782213]	0.24
18	[1.2642560682723047, -0.2506800085823386, 0.10000000149011612, 2.7415926535897928]	[1.4119300587551944, -0.025530297201534324, 0.10000000149011612, 2.941592653589793]	Right	[-18.33447761898817, 4.195366314665341]	0.24
19	[1.2131911975736311, -0.011949241858550452, 0.10000000149011612, 2.941592653589793]	[1.2642560682723047, -0.2506800085823386, 0.10000000149011612, 2.7415926535897928]	Left	[-24.19258506861601, 4.819220026712971]	0.24
20	[1.1535903983351128, -0.3059692152109229, 0.10000000149011612, 2.941592653589793]	[1.2131911975736311, -0.011949241858550452, 0.10000000149011612, 2.941592653589793]	Right	[-62.72957196886701, 7.7601797073336085]	0.24
21	[1.193324264494125, -0.10995589964267458, 0.10000000149011612, 2.941592653589793]	[1.1535903983351128, -0.3059692152109229, 0.10000000149011612, 2.941592653589793]	Left	[-96.0000000000001, 9.600000000000005]	0.24
22	[1.1337234652556067, -0.403975872995047, 0.10000000149011612, 2.941592653589793]	[1.193324264494125, -0.10995589964267458, 0.10000000149011612, 2.941592653589793]	Right	[-96.00000000000014, 9.600000000000007]	0.24
23	[1.0461814770565983, -0.13114552222342796, 0.10000000149011612, 2.941592653589793]	[1.1337234652556067, -0.403975872995047, 0.10000000149011612, 2.941592653589793]	Left	[-43.438914027149366, 6.4576588223646025]	0.24
24	[0.849371356920306, -0.3973517892644918, 0.10000000149011612, 2.7415926535897928]	[1.0461814770565983, -0.13114552222342796, 0.10000000149011612, 2.941592653589793]	Right	[-11.866501854140909, 3.375180258886223]	0.24
25	[0.8177774033370648, -0.11256797284055942, 0.10000000149011612, 2.941592653589793]	[0.849371356920306, -0.3973517892644918, 0.10000000149011612, 2.7415926535897928]	Left	[-18.28099735914006, 4.189243065850256]	0.24
26	[0.7780435371780525, -0.3085812884088077, 0.10000000149011612, 2.7415926535897928]	[0.8177774033370648, -0.11256797284055942, 0.10000000149011612, 2.941592653589793]	Right	[-74.02917851125227, 8.430184539546106]	0.24
27	[0.8396053802304747, -0.008897889669423231, 0.10000000149011612, 2.7415926535897928]	[0.7780435371780525, -0.3085812884088077, 0.10000000149011612, 2.7415926535897928]	Left	[-85.53141100464937, 9.061465365185887]	0.24
28	[0.7617217117687445, -0.19311008847000022, 0.10000000149011612, 2.7415926535897928]	[0.8396053802304747, -0.008897889669423231, 0.10000000149011612, 2.7415926535897928]	Right	[-70.58823529411768, 8.231932086840427]	0.24
29	[0.7669701979456187, 0.07609699426158612, 0.10000000149011612, 2.7415926535897928]	[0.7617217117687445, -0.19311008847000022, 0.10000000149011612, 2.7415926535897928]	Left	[-76.79999999999994, 8.58650103359919]	0.24
30	[0.4383006666323599, -0.11065508520828962, 0.20000000298023224, 2.5415926535897926]	[0.7669701979456187, 0.07609699426158612, 0.10000000149011612, 2.7415926535897928]	Right	[-6.822262091739386, 2.5766525216969645]	0.24
31	[0.4026687506276251, 0.15604768298475244, 0.20000000298023224, 2.5415926535897926]	[0.4383006666323599, -0.11065508520828962, 0.20000000298023224, 2.5415926535897926]	Left	[-5.463394414198006, 2.3058068888487258]	0.24
32	[0.18375587171453364, -0.05767445308444874, 0.20000000298023224, 2.7415926535897928]	[0.4026687506276251, 0.15604768298475244, 0.20000000298023224, 2.5415926535897926]	Right	[-14.201183431952666, 3.692307692307693]	0.24
33	[0.15216191813129248, 0.22710936333948362, 0.20000000298023224, 2.5415926535897926]	[0.18375587171453364, -0.05767445308444874, 0.20000000298023224, 2.7415926535897928]	Left	[-14.158574596160985, 3.686764382533083]	0.24
34	[-0.017230823887218277, -0.020491321133419726, 0.20000000298023224, 2.5415926535897926]	[0.15216191813129248, 0.22710936333948362, 0.20000000298023224, 2.5415926535897926]	Right	[-22.978470763584543, 4.696736306526178]	0.24
35	[0.008382808374185789, 0.26489252886930476, 0.20000000298023224, 2.7415926535897928]	[-0.017230823887218277, -0.020491321133419726, 0.20000000298023224, 2.5415926535897926]	Left	[-43.438914027149316, 6.457658822364599]	0.24
36	[-0.14423543684315004, 0.0579923809071026, 0.20000000298023224, 2.5415926535897926]	[0.008382808374185789, 0.26489252886930476, 0.20000000298023224, 2.7415926535897928]	Right	[-43.06890497574061, 6.4300971047652915]	0.24
37	[-0.1646698862538652, 0.43546083426086424, 0.20000000298023224, 2.5415926535897926]	[-0.14423543684315004, 0.0579923809071026, 0.20000000298023224, 2.5415926535897926]	Left	[-16.259947255871126, 3.9508922239965343]	0.24
38	[-0.27759838093287237, 0.27039371127892864, 0.20000000298023224, 2.7415926535897928]	[-0.1646698862538652, 0.43546083426086424, 0.20000000298023224, 2.5415926535897926]	Right	[-15.262321144674083, 3.8277706695787197]	0.24
39	[-0.27234989475599813, 0.539600794010515, 0.20000000298023224, 2.7415926535897928]	[-0.27759838093287237, 0.27039371127892864, 0.20000000298023224, 2.7415926535897928]	Left	[-42.780528568952775, 6.408533952956375]	0.24
40	[-0.601019426069257, 0.35284871454063926, 0.10000000149011612, 2.5415926535897926]	[-0.27234989475599813, 0.539600794010515, 0.20000000298023224, 2.7415926535897928]	Right	[-10.412926418134935, 3.17587404833804]	0.24
41	[-0.6779181228194757, 0.6477836064034331, 0.10000000149011612, 2.5415926535897926]	[-0.601019426069257, 0.35284871454063926, 0.10000000149011612, 2.5415926535897926]	Left	[-6.583834907721364, 2.5253195264042416]	0.24
42	[-0.790846617498483, 0.48271648342149753, 0.10000000149011612, 2.7415926535897928]	[-0.6779181228194757, 0.6477836064034331, 0.10000000149011612, 2.5415926535897926]	Right	[-18.147448015122862, 4.17391304347826]	0.24
43	[-0.8858651434265512, 0.8486010003533526, 0.10000000149011612, 2.5415926535897926]	[-0.790846617498483, 0.48271648342149753, 0.10000000149011612, 2.7415926535897928]	Left	[-11.487432335474297, 3.3208334860476407]	0.24
44	[-1.055257885445062, 0.6010003158804493, 0.10000000149011612, 2.5415926535897926]	[-0.8858651434265512, 0.8486010003533526, 0.10000000149011612, 2.5415926535897926]	Right	[-11.441595282297548, 3.3142014831638775]	0.24
45	[-1.090889801449797, 0.8677030840734914, 0.10000000149011612, 2.7415926535897928]	[-1.055257885445062, 0.6010003158804493, 0.10000000149011612, 2.5415926535897926]	Left	[-22.64150943396223, 4.6621721393148645]	0.24
46	[-1.1882443870269597, 0.6374378355727701, 0.10000000149011612, 2.941592653589793]	[-1.090889801449797, 0.8677030840734914, 0.10000000149011612, 2.7415926535897928]	Right	[-50.49149673554593, 6.962171849798315]	0.24
47	[-1.1973810489986687, 0.8943746398807841, 0.10000000149011612, 2.7415926535897928]	[-1.1882443870269597, 0.6374378355727701, 0.10000000149011612, 2.941592653589793]	Left	[-79.65643057212354, 8.744722599902103]	0.24
48	[-1.2947356345758314, 0.6641093913800629, 0.10000000149011612, 2.941592653589793]	[-1.1973810489986687, 0.8943746398807841, 0.10000000149011612, 2.7415926535897928]	Right	[-79.65643057212354, 8.744722599902103]	0.24
49	[-1.255001768416819, 0.8601227069483112, 0.10000000149011612, 3.141592653589793]	[-1.2947356345758314, 0.6641093913800629, 0.10000000149011612, 2.941592653589793]	Left	[-213.64942928409403, 14.321433312093111]	0.24
50	[-1.255001768416819, 0.5601227069483112, 0.10000000149011612, 3.141592653589793]	[-1.255001768416819, 0.8601227069483112, 0.10000000149011612, 3.141592653589793]	Right	[-77.46926841923153, 8.623833120049476]	0.24
51	[-1.195001768416819, 0.7601227069483112, 0.10000000149011612, 2.941592653589793]	[-1.255001768416819, 0.5601227069483112, 0.10000000149011612, 3.141592653589793]	Left	[-70.58823529411764, 8.231932086840423]	0.24
52	[-1.2546025676553374, 0.46610273359593873, 0.10000000149011612, 3.141592653589793]	[-1.195001768416819, 0.7601227069483112, 0.10000000149011612, 2.941592653589793]	Right	[-108.59833234855945, 10.210504348689984]	0.24
53	[-1.2546025676553374, 0.6661027335959387, 0.10000000149011612, 2.941592653589793]	[-1.2546025676553374, 0.46610273359593873, 0.10000000149011612, 3.141592653589793]	Left	[-77.46926841923155, 8.623833120049476]	0.24
54	[-1.2553993722233814, 0.3601626003958626, 0.10000000149011612, 3.141592653589793]	[-1.2546025676553374, 0.6661027335959387, 0.10000000149011612, 2.941592653589793]	Right	[-85.53141100464939, 9.061465365185887]	0.24
55	[-1.1953993722233813, 0.5601626003958626, 0.10000000149011612, 3.141592653589793]	[-1.2553993722233814, 0.3601626003958626, 0.10000000149011612, 3.141592653589793]	Left	[-65.1805051082989, 7.910327736823989]	0.24
56	[-1.2953993722233814, 0.26016260039586264, 0.10000000149011612, 2.941592653589793]	[-1.1953993722233813, 0.5601626003958626, 0.10000000149011612, 3.141592653589793]	Right	[-82.75862068965519, 8.91337623249849]	0.24
57	[-1.1968615113938945, 0.4442557561164073, 0.10000000149011612, 3.141592653589793]	[-1.2953993722233814, 0.26016260039586264, 0.10000000149011612, 2.941592653589793]	Left	[-71.446994537008, 8.281854548078448]	0.24
58	[-1.1968615113938945, 0.14425575611640729, 0.10000000149011612, 3.3415926535897933]	[-1.1968615113938945, 0.4442557561164073, 0.10000000149011612, 3.141592653589793]	Right	[-41.47924212122707, 6.310314765237783]	0.24
59	[-1.2365953775529068, 0.3402690716846556, 0.10000000149011612, 3.141592653589793]	[-1.1968615113938945, 0.14425575611640729, 0.10000000149011612, 3.3415926535897933]	Left	[-77.46926841923143, 8.62383312004947]	0.24
60	[-1.2365953775529068, 0.0402690716846556, 0.10000000149011612, 3.141592653589793]	[-1.2365953775529068, 0.3402690716846556, 0.10000000149011612, 3.141592653589793]	Right	[-77.46926841923143, 8.62383312004947]	0.24
61	[-1.2965953775529069, 0.3402690716846556, 0.10000000149011612, 2.941592653589793]	[-1.2365953775529068, 0.0402690716846556, 0.10000000149011612, 3.141592653589793]	Left	[-266.6666666666662, 15.999999999999986]	0.24
62	[-1.2775252490414446, 0.13233559626870356, 0.10000000149011612, 2.941592653589793]	[-1.2965953775529069, 0.3402690716846556, 0.10000000149011612, 2.941592653589793]	Right	[-94.56731157460703, 9.5280963005011]	0.24
63	[-1.2866619110131536, 0.38927240057671764, 0.10000000149011612, 2.7415926535897928]	[-1.2775252490414446, 0.13233559626870356, 0.10000000149011612, 2.941592653589793]	Left	[-383.9999999999999, 19.2]	0.24
64	[-1.5958605252109799, 0.24857337080698613, 0.0020500000937317964, 2.941592653589793]	[-1.2866619110131536, 0.38927240057671764, 0.10000000149011612, 2.7415926535897928]	Right	[-10.064557356422542, 3.1217804078456295]	0.24
65	[-1.6933359799497414, 0.4724003926865431, 0.0020500000937317964, 3.141592653589793]	[-1.5958605252109799, 0.24857337080698613, 0.0020500000937317964, 2.941592653589793]	Left	[-6.7088789554434705, 2.5487661413802143]	0.24
