i	f_sup	f_swg	f_swg_id	traj_h
0	[3.3, -0.1, 0.000205, 3.141592653589793]	[3.3, 0.1, 0.000205, 3.141592653589793]	Right	None
1	[3.36, 0.15, 0.0020500000937317964, 3.3415926535897933]	[3.3, -0.1, 0.000205, 3.141592653589793]	Left	0.02
2	[3.1199999999999997, 0.10000000000000003, 0.0020500000937317964, 2.941592653589793]	[3.3, -0.1, 0.000205, 3.141592653589793]	Left	0.02
3	[2.97232600951711, -0.12514971138080422, 0.0020500000937317964, 2.7415926535897928]	[3.1199999999999997, 0.10000000000000003, 0.0020500000937317964, 2.941592653589793]	Right	0.02
4	[2.9775744956939842, 0.14405737135078212, 0.0020500000937317964, 2.7415926535897928]	[2.97232600951711, -0.12514971138080422, 0.0020500000937317964, 2.7415926535897928]	Left	0.02
5	[2.954954486872427, -0.06351992798831393, 0.0020500000937317964, 2.7415926535897928]	[2.9775744956939842, 0.14405737135078212, 0.0020500000937317964, 2.7415926535897928]	Right	0.02
6	[2.8075847278319657, -0.0012129932189297865, 0.0020500000937317964, 2.941592653589793]	[2.9775744956939842, 0.14405737135078212, 0.0020500000937317964, 2.7415926535897928]	Right	0.02
7	[2.8075847278319657, -0.0012129932189297865, 0.0020500000937317964, 2.5415926535897926]	[2.9775744956939842, 0.14405737135078212, 0.0020500000937317964, 2.7415926535897928]	Right	0.02
8	[2.6878467986115906, 0.049411391281194844, 0.0020500000937317964, 2.5415926535897926]	[2.9775744956939842, 0.14405737135078212, 0.0020500000937317964, 2.7415926535897928]	Right	0.02
9	[2.77074228807185, 0.014363740473416264, 0.0020500000937317964, 2.5415926535897926]	[2.9775744956939842, 0.14405737135078212, 0.0020500000937317964, 2.7415926535897928]	Right	0.02
10	[2.96142304331519, 0.18681909579713357, 0.0020500000937317964, 2.3415926535897924]	[2.77074228807185, 0.014363740473416264, 0.0020500000937317964, 2.5415926535897926]	Left	0.02
11	[2.7204128858266823, 0.14790760665363387, 0.0020500000937317964, 2.3415926535897924]	[2.96142304331519, 0.18681909579713357, 0.0020500000937317964, 2.3415926535897924]	Right	0.02
12	[2.941554311112393, 0.2790429185364537, 0.0020500000937317964, 2.3415926535897924]	[2.7204128858266823, 0.14790760665363387, 0.0020500000937317964, 2.3415926535897924]	Left	0.02
13	[2.7351103720671155, 0.2810665086664583, 0.0020500000937317964, 2.5415926535897926]	[2.77074228807185, 0.014363740473416264, 0.0020500000937317964, 2.5415926535897926]	Left	0.02
14	[2.7681237966635024, 0.2584808097306569, 0.0020500000937317964, 2.3415926535897924]	[2.77074228807185, 0.014363740473416264, 0.0020500000937317964, 2.5415926535897926]	Left	0.02
15	[2.5529169693936455, 0.04946879692650746, 0.0020500000937317964, 2.1415926535897922]	[2.7681237966635024, 0.2584808097306569, 0.0020500000937317964, 2.3415926535897924]	Right	0.02
16	[2.639015185245948, 0.3780826998993585, 0.0020500000937317964, 2.1415926535897922]	[2.5529169693936455, 0.04946879692650746, 0.0020500000937317964, 2.1415926535897922]	Left	0.02
17	[2.62395675129896, 0.3089940353655567, 0.0020500000937317964, 2.1415926535897922]	[2.5529169693936455, 0.04946879692650746, 0.0020500000937317964, 2.1415926535897922]	Left	0.02
18	[2.371515455856591, 0.14690334360511503, 0.0020500000937317964, 1.9415926535897923]	[2.62395675129896, 0.3089940353655567, 0.0020500000937317964, 2.1415926535897922]	Right	0.02
19	[2.358408139281116, 0.3523983514573504, 0.0020500000937317964, 2.1415926535897922]	[2.62395675129896, 0.3089940353655567, 0.0020500000937317964, 2.1415926535897922]	Right	0.02
20	[2.6011940238351783, 0.4369856688359113, 0.0020500000937317964, 2.1415926535897922]	[2.358408139281116, 0.3523983514573504, 0.0020500000937317964, 2.1415926535897922]	Left	0.02
21	[2.251498313336544, 0.4263597543408911, 0.0020500000937317964, 2.3415926535897924]	[2.6011940238351783, 0.4369856688359113, 0.0020500000937317964, 2.1415926535897922]	Right	0.02
22	[2.251498313336544, 0.4263597543408911, 0.0020500000937317964, 2.1415926535897922]	[2.6011940238351783, 0.4369856688359113, 0.0020500000937317964, 2.1415926535897922]	Right	0.02
23	[2.4078358289517046, 0.6455824292887156, 0.0020500000937317964, 1.9415926535897923]	[2.251498313336544, 0.4263597543408911, 0.0020500000937317964, 2.1415926535897922]	Left	0.02
24	[2.124095971833164, 0.6854784627049592, 0.0020500000937317964, 1.9415926535897923]	[2.4078358289517046, 0.6455824292887156, 0.0020500000937317964, 1.9415926535897923]	Right	0.02
