i	f_sup	f_swg	f_swg_id	traj_params	h_max
0	[-2.525, 1.875, 0.000205, 0]	[-2.525, 1.675, 0.000205, 0]	Right	None
1	[-2.385, 1.575, 0.0020498848425631877, 0]	[-2.525, 1.875, 0.000205, 0]	Left	0.02
2	[-2.385, 1.875, 0.0020498848425631877, 0]	[-2.385, 1.575, 0.0020498848425631877, 0]	Right	0.02
3	[-2.2849999999999997, 1.625, 0.0020498848425631877, -0.2]	[-2.385, 1.875, 0.0020498848425631877, 0]	Left	0.02
4	[-1.9999838878579959, 1.8733260272695085, 0.0020498848425631877, -0.2]	[-2.2849999999999997, 1.625, 0.0020498848425631877, -0.2]	Right	0.02
5	[-2.0595846870965144, 1.579306053917136, 0.0020498848425631877, 0.0]	[-1.9999838878579959, 1.8733260272695085, 0.0020498848425631877, -0.2]	Left	0.02
6	[-1.9995846870965144, 1.879306053917136, 0.0020498848425631877, -0.2]	[-2.0595846870965144, 1.579306053917136, 0.0020498848425631877, 0.0]	Right	0.02
7	[-2.059185486335033, 1.5852860805647635, 0.0020498848425631877, -0.4]	[-1.9995846870965144, 1.879306053917136, 0.0020498848425631877, -0.2]	Left	0.02
8	[-1.9976236432826109, 1.884969479304148, 0.0020498848425631877, -0.6000000000000001]	[-2.059185486335033, 1.5852860805647635, 0.0020498848425631877, -0.4]	Right	0.02
9	[-1.9902238509476278, 1.5769999303656221, 0.0020498848425631877, -0.4000000000000001]	[-1.9976236432826109, 1.884969479304148, 0.0020498848425631877, -0.6000000000000001]	Left	0.02
10	[-1.661554319634369, 1.763752009835498, 0.10000000149011612, -0.20000000000000007]	[-1.9902238509476278, 1.5769999303656221, 0.0020498848425631877, -0.4000000000000001]	Right	0.152
11	[-1.5248762017819577, 1.5319782147241385, 0.10000000149011612, -5.551115123125783e-17]	[-1.661554319634369, 1.763752009835498, 0.10000000149011612, -0.20000000000000007]	Left	0.152
12	[-1.3848762017819576, 1.7319782147241385, 0.10000000149011612, 0.19999999999999996]	[-1.5248762017819577, 1.5319782147241385, 0.10000000149011612, -5.551115123125783e-17]	Right	0.02
13	[-1.2764048744127179, 1.4988817301115318, 0.10000000149011612, 0.39999999999999997]	[-1.3848762017819576, 1.7319782147241385, 0.10000000149011612, 0.19999999999999996]	Left	0.02
14	[-1.1619154313692168, 1.8187131973432427, 0.10000000149011612, 0.19999999999999996]	[-1.2764048744127179, 1.4988817301115318, 0.10000000149011612, 0.39999999999999997]	Right	0.02
15	[-1.1221815652102045, 1.6226998817749942, 0.10000000149011612, 0.19999999999999996]	[-1.1619154313692168, 1.8187131973432427, 0.10000000149011612, 0.19999999999999996]	Left	0.02
16	[-1.1031114366987422, 1.8306333571909463, 0.10000000149011612, 0.19999999999999996]	[-1.1221815652102045, 1.6226998817749942, 0.10000000149011612, 0.19999999999999996]	Right	0.02
17	[-1.0045735758692556, 1.6465402014704016, 0.10000000149011612, 0.19999999999999996]	[-1.1031114366987422, 1.8306333571909463, 0.10000000149011612, 0.19999999999999996]	Left	0.02
18	[-0.9855034473577933, 1.8544736768863537, 0.10000000149011612, 0.19999999999999996]	[-1.0045735758692556, 1.6465402014704016, 0.10000000149011612, 0.19999999999999996]	Right	0.02
19	[-0.9847066427897494, 1.5485335436862775, 0.10000000149011612, 0.19999999999999996]	[-0.9855034473577933, 1.8544736768863537, 0.10000000149011612, 0.19999999999999996]	Left	0.02
20	[-0.9755699808180402, 1.8054703479942915, 0.10000000149011612, 0.19999999999999996]	[-0.9847066427897494, 1.5485335436862775, 0.10000000149011612, 0.19999999999999996]	Right	0.02
21	[-0.6905538686760364, 1.557144320724783, 0.20000000670552254, 0.19999999999999996]	[-0.9755699808180402, 1.8054703479942915, 0.10000000149011612, 0.19999999999999996]	Left	0.152
22	[-0.6030118804770278, 1.829974671496402, 0.20000000670552254, -5.551115123125783e-17]	[-0.6905538686760364, 1.557144320724783, 0.20000000670552254, 0.19999999999999996]	Right	0.152
